l,x, forward, reference, backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0,0.99,1,1,1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.99,0.98999999999999999,0.98999999999999999,0.65345021912304035,0.000000e+00,0.000000e+00,3.365498e-01,3.399493e-01
2,0.99,0.97014999999999985,0.97014999999999997,0.47037357539771485,1.110223e-16,1.144383e-16,4.997764e-01,5.151538e-01
3,0.99,0.94074749999999974,0.94074749999999995,0.34048291999086938,2.220446e-16,2.360300e-16,6.002646e-01,6.380719e-01
4,0.99,0.9022325437499995,0.90223254374999992,0.23710647733589502,4.440892e-16,4.922115e-16,6.651261e-01,7.372003e-01
5,0.99,0.85518039296249948,0.85518039296249988,0.15013740661986943,4.440892e-16,5.192930e-16,7.050430e-01,8.244377e-01
6,0.99,0.80029196010193704,0.80029196010193733,0.074910661901817222,3.330669e-16,4.161817e-16,7.253813e-01,9.063958e-01
7,0.99,0.73838216696241887,0.73838216696241916,0.0090393969938815343,3.330669e-16,4.510766e-16,7.293428e-01,9.877578e-01
8,0.99,0.6703664323347952,0.67036643233479539,-0.048767448494197459,2.220446e-16,3.312287e-16,7.191339e-01,1.072747e+00
9,0.99,0.59724552449947232,0.59724552449947255,-0.099230148234266152,2.220446e-16,3.717811e-16,6.964757e-01,1.166146e+00
10,0.99,0.52008904248219168,0.52008904248219201,-0.14276120518387689,3.330669e-16,6.404036e-16,6.628502e-01,1.274494e+00
11,0.99,0.44001781347364016,0.44001781347364058,-0.17960945213001261,3.885781e-16,8.830962e-16,6.196273e-01,1.408187e+00
12,0.99,0.35818551212422323,0.35818551212422364,-0.20994449733147846,3.885781e-16,1.084851e-15,5.681300e-01,1.586133e+00
13,0.99,0.27575982026083401,0.27575982026083447,-0.23390868333799544,4.440892e-16,1.610420e-15,5.096685e-01,1.848233e+00
14,0.99,0.19390345271122797,0.19390345271122843,-0.25165004573681415,4.718448e-16,2.433401e-15,4.455535e-01,2.297811e+00
15,0.99,0.11375537624584527,0.1137553762458457,-0.26334341642479997,4.302114e-16,3.781900e-15,3.770988e-01,3.314998e+00
16,0.99,0.03641254414478573,0.036412544144786135,-0.26920367275155616,4.024558e-16,1.105267e-14,3.056162e-01,8.393157e+00
17,0.99,-0.037087541336669083,-0.037087541336668719,-0.26949348976450238,3.608225e-16,9.728941e-15,2.324059e-01,6.266416e+00
18,0.99,-0.10578314209871895,-0.10578314209871863,-0.2645270546424196,3.191891e-16,3.017391e-15,1.587439e-01,1.500654e+00
19,0.99,-0.16880319742189642,-0.16880319742189613,-0.25467069451530461,2.775558e-16,1.644257e-15,8.586750e-02,5.086841e-01
20,0.99,-0.22538058762918806,-0.22538058762918778,-0.24034107385149692,2.775558e-16,1.231498e-15,1.496049e-02,6.637877e-02
21,0.99,-0.27486352873480069,-0.27486352873480045,-0.22200144272981748,2.220446e-16,8.078358e-16,5.286209e-02,1.923212e-01
22,0.99,-0.31672491263761438,-0.31672491263761416,-0.20015631209667703,2.220446e-16,7.010645e-16,1.165686e-01,3.680437e-01
23,0.99,-0.35056944460174366,-0.35056944460174351,-0.1753448679935207,1.665335e-16,4.750370e-16,1.752246e-01,4.998284e-01
24,0.99,-0.37613846944391677,-0.37613846944391665,-0.14813339706312278,1.110223e-16,2.951634e-16,2.280051e-01,6.061732e-01
25,0.99,-0.39331241929130217,-0.3933124192913021,-0.11910697038750359,5.551115e-17,1.411375e-16,2.742054e-01,6.971696e-01
26,0.99,-0.4021108582276896,-0.40211085822768948,-0.088860615703345622,1.110223e-16,2.760987e-16,3.132502e-01,7.790146e-01
27,0.99,-0.40269014183825991,-0.40269014183825972,-0.057990195402942646,1.665335e-16,4.135523e-16,3.446999e-01,8.559930e-01
28,0.99,-0.39533875181948686,-0.39533875181948662,-0.027083196989281973,2.220446e-16,5.616566e-16,3.682556e-01,9.314937e-01
29,0.99,-0.38047040667939191,-0.38047040667939165,0.0032903677647314498,2.775558e-16,7.295068e-16,3.837608e-01,1.008648e+00
30,0.99,-0.35861508837927208,-0.35861508837927179,0.032586769794238038,2.775558e-16,7.739656e-16,3.912019e-01,1.090868e+00
31,0.99,-0.33040816086588659,-0.33040816086588626,0.060296903062325539,3.330669e-16,1.008047e-15,3.907051e-01,1.182492e+00
32,0.99,-0.29657778917024724,-0.29657778917024688,0.085953999386745777,3.330669e-16,1.123034e-15,3.825318e-01,1.289819e+00
33,0.99,-0.25793089652718293,-0.25793089652718262,0.10914057462250523,3.330669e-16,1.291303e-15,3.670715e-01,1.423139e+00
34,0.99,-0.21533792129499657,-0.21533792129499635,0.12949448043965181,2.220446e-16,1.031145e-15,3.448324e-01,1.601355e+00
35,0.99,-0.16971665490677132,-0.16971665490677118,0.14671395490478392,1.387779e-16,8.177034e-16,3.164306e-01,1.864464e+00
36,0.99,-0.12201545633533548,-0.12201545633533539,0.16056158541304028,8.326673e-17,6.824277e-16,2.825770e-01,2.315912e+00
37,0.99,-0.073196147370565595,-0.073196147370565566,0.17086711895211348,2.775558e-17,3.791945e-16,2.440633e-01,3.334373e+00
38,0.99,-0.024216896259396936,-0.024216896259396945,0.17752907689241937,1.040834e-17,4.297966e-16,2.017460e-01,8.330794e+00
39,0.99,0.023984605082760613,0.023984605082760575,0.1805151541366363,3.816392e-17,1.591184e-15,1.565305e-01,6.526293e+00
40,0.99,0.07050737294097971,0.070507372940979636,0.17986140515554919,6.938894e-17,9.841373e-16,1.093540e-01,1.550959e+00
41,0.99,0.11450248860553021,0.1145024886055301,0.1756702418038546,1.110223e-16,9.696060e-16,6.116775e-02,5.342046e-01
42,0.99,0.15518731424133927,0.15518731424133911,0.16810728946774314,1.665335e-16,1.073113e-15,1.291998e-02,8.325407e-02
43,0.99,0.19185832492968452,0.19185832492968424,0.15739716867322545,2.775558e-16,1.446670e-15,3.446116e-02,1.796177e-01
44,0.99,0.22390234122309405,0.22390234122309367,0.14381828842527161,3.885781e-16,1.735480e-15,8.008405e-02,3.576740e-01
45,0.99,0.25080597751690437,0.25080597751690393,0.12769675492286139,4.440892e-16,1.770648e-15,1.231092e-01,4.908544e-01
46,0.99,0.27216315564040611,0.27216315564040564,0.10939951460572524,4.440892e-16,1.631702e-15,1.627636e-01,5.980370e-01
47,0.99,0.28768056966031036,0.28768056966030992,0.089326863474414833,4.440892e-16,1.543689e-15,1.983537e-01,6.894929e-01
48,0.99,0.29718102628027293,0.29718102628027255,0.067904465068742245,3.885781e-16,1.307547e-15,2.292766e-01,7.715047e-01
49,0.99,0.30060462469387167,0.30060462469387137,0.0455750272199879,2.775558e-16,9.233250e-16,2.550296e-01,8.483888e-01
50,0.99,0.29800777957025981,0.29800777957025955,0.022789792589252875,2.775558e-16,9.313708e-16,2.752180e-01,9.235262e-01
