l,x, forward, reference, backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0,0.1,1,1,1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.1,0.10000000000000001,0.10000000000000001,1.6346077348222461,0.000000e+00,0.000000e+00,1.534608e+00,1.534608e+01
2,0.1,-0.48499999999999999,-0.485,-0.25480883977666308,0.000000e+00,0.000000e+00,2.301912e-01,4.746209e-01
3,0.1,-0.14749999999999999,-0.14750000000000001,-1.1322066298442746,2.775558e-17,1.881734e-16,9.847066e-01,6.675977e+00
4,0.1,0.3379375,0.3379375,-0.0070295303902508125,0.000000e+00,0.000000e+00,3.449670e-01,1.020801e+00
5,0.1,0.17882875000000001,0.17882875000000001,0.90449998840517454,0.000000e+00,0.000000e+00,7.256712e-01,4.057911e+00
6,0.1,-0.24882931249999998,-0.24882931249999999,0.17168293986615768,0.000000e+00,0.000000e+00,4.205123e-01,1.689963e+00
7,0.1,-0.19949294375000001,-0.19949294375000001,-0.74340172980072017,0.000000e+00,0.000000e+00,5.439088e-01,2.726456e+00
8,0.1,0.18032072148437497,0.18032072148437499,-0.28961039672052302,2.775558e-17,1.539234e-16,4.699311e-01,2.606085e+00
9,0.1,0.2113876418359375,0.21138764183593751,0.60609735155343025,0.000000e+00,0.000000e+00,3.947097e-01,1.867232e+00
10,0.1,-0.12212499738710933,-0.12212499738710936,0.37580785384362242,2.775558e-17,2.272719e-16,4.979329e-01,4.077239e+00
11,0.1,-0.21548535571566407,-0.21548535571566407,-0.47925245658751781,0.000000e+00,0.000000e+00,2.637671e-01,1.224060e+00
12,0.1,0.070646554426014599,0.070646554426014633,-0.43634725353592818,2.775558e-17,3.928794e-16,5.069938e-01,7.176483e+00
13,0.1,0.21249543497330811,0.21249543497330811,0.3584739496315687,0.000000e+00,0.000000e+00,1.459785e-01,6.869725e-01
14,0.1,-0.024619109507875565,-0.024619109507875593,0.4743138542837359,2.775558e-17,1.127400e-15,4.989330e-01,2.026608e+01
15,0.1,-0.2030887671466102,-0.20308876714661018,-0.2428750078279418,2.775558e-17,1.366672e-16,3.978624e-02,1.959057e-01
16,0.1,-0.016268033471022382,-0.016268033471022356,-0.49172627115766615,2.428613e-17,1.492874e-15,4.754582e-01,2.922653e+01
17,0.1,0.18798445669949349,0.18798445669949348,0.1331354959074571,0.000000e+00,0.000000e+00,5.484896e-02,2.917739e-01
18,0.1,0.051916787080867097,0.051916787080867071,0.49029560251980131,2.775558e-17,5.346166e-16,4.383788e-01,8.443874e+00
19,0.1,-0.16798042675745656,-0.16798042675745655,-0.03064974721110331,0.000000e+00,0.000000e+00,1.373307e-01,8.175398e-01
20,0.1,-0.082077130944527774,-0.082077130944527746,-0.47175752309997637,2.775558e-17,3.381645e-16,3.896804e-01,4.747734e+00
21,0.1,0.14395677610840796,0.14395677610840796,-0.062914804785135114,0.000000e+00,0.000000e+00,2.068716e-01,1.437040e+00
22,0.1,0.10648335850460168,0.10648335850460168,0.43801701475106464,0.000000e+00,0.000000e+00,3.315337e-01,3.113479e+00
23,0.1,-0.11686408526583772,-0.11686408526583772,0.14587835963707665,0.000000e+00,0.000000e+00,2.627424e-01,2.248274e+00
24,0.1,-0.12493243526480317,-0.12493243526480316,-0.3911984603741761,1.387779e-17,1.110823e-16,2.662660e-01,2.131280e+00
25,0.1,0.087702764543302794,0.087702764543302792,-0.21671812348493213,0.000000e+00,0.000000e+00,3.044209e-01,3.471052e+00
26,0.1,0.13733057618426628,0.13733057618426628,0.33364227229158649,0.000000e+00,0.000000e+00,1.963117e-01,1.429483e+00
27,0.1,-0.057497030531454128,-0.05749703053145412,0.27418426865754236,6.938894e-18,1.206826e-16,3.316813e-01,5.768668e+00
28,0.1,-0.1437199723177924,-0.14371997231779241,-0.2678688526520126,0.000000e+00,0.000000e+00,1.241489e-01,8.638248e-01
29,0.1,0.027265965954113756,0.027265965954113745,-0.31737972353543653,1.040834e-17,3.817338e-16,3.446457e-01,1.264014e+01
30,0.1,0.14429161321150835,0.14429161321150836,0.196521878601643,0.000000e+00,0.000000e+00,5.223027e-02,3.619771e-01
31,0.1,0.0020064471602189767,0.0020064471602189906,0.34581210211397151,1.387779e-17,6.916598e-15,3.438057e-01,1.713505e+02
32,0.1,-0.1393874810139806,-0.13938748101398061,-0.12229881229165349,0.000000e+00,0.000000e+00,1.708867e-02,1.225983e-01
33,0.1,-0.029400755627814579,-0.029400755627814598,-0.35942210750129805,1.734723e-17,5.900268e-16,3.300214e-01,1.122493e+01
34,0.1,0.12949417090455889,0.12949417090455889,0.047874490746054939,0.000000e+00,0.000000e+00,8.161968e-02,6.302962e-01
35,0.1,0.054089584873918628,0.05408958487391865,0.35859101831976886,2.081668e-17,3.848556e-16,3.045014e-01,5.629576e+00
36,0.1,-0.11522944247374275,-0.11522944247374275,0.024177473721067672,1.387779e-17,1.204361e-16,1.394069e-01,1.209820e+00
37,0.1,-0.075362161770794397,-0.075362161770794418,-0.34412921895534826,1.387779e-17,1.841480e-16,2.687671e-01,3.566340e+00
38,0.1,0.097322977848619055,0.097322977848619037,-0.091461464995910957,1.387779e-17,1.425952e-16,1.887844e-01,1.939773e+00
39,0.1,0.092644848121142404,0.092644848121142424,0.31724761640601845,1.387779e-17,1.497956e-16,2.246028e-01,2.424342e+00
40,0.1,-0.076592545898477943,-0.076592545898477932,0.15183133261120182,1.387779e-17,1.811898e-16,2.284239e-01,2.982325e+00
41,0.1,-0.10551691577130164,-0.10551691577130166,-0.27951392346560983,2.775558e-17,2.630438e-16,1.739970e-01,1.648996e+00
42,0.1,0.053916761450852189,0.053916761450852175,-0.2034535762339009,1.387779e-17,2.573928e-16,2.573703e-01,4.773475e+00
43,0.1,0.11372099848202123,0.11372099848202124,0.23279603226901061,1.387779e-17,1.220336e-16,1.190750e-01,1.047080e+00
44,0.1,-0.030205637627114989,-0.030205637627114969,0.24485975588177575,2.081668e-17,6.891654e-16,2.750654e-01,9.106426e+00
45,0.1,-0.11716786906867238,-0.1171678690686724,-0.17919496872197024,1.387779e-17,1.184436e-16,6.202710e-02,5.293866e-01
46,0.1,0.0063701322759838197,0.0063701322759837988,-0.27498615717499647,2.081668e-17,3.267857e-15,2.813563e-01,4.416805e+01
47,0.1,0.11593540866650168,0.11593540866650169,0.12097015530815244,1.387779e-17,1.197028e-16,5.034747e-03,4.342717e-02
48,0.1,0.016708128445010968,0.016708128445010992,0.29319928880525586,2.428613e-17,1.453552e-15,2.764912e-01,1.654830e+01
49,0.1,-0.11026185245051988,-0.11026185245051989,-0.060459884762863972,1.387779e-17,1.258621e-16,4.980197e-02,4.516700e-01
50,0.1,-0.038205812661313683,-0.038205812661313712,-0.29930636021219781,2.775558e-17,7.264752e-16,2.611005e-01,6.834053e+00
