l,x, forward, reference, backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0,0.9,1,1,1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.9,0.90000000000000002,0.90000000000000002,0.45033926992011358,0.000000e+00,0.000000e+00,4.496607e-01,4.996230e-01
2,0.9,0.71500000000000008,0.71500000000000006,0.10795801439215343,0.000000e+00,0.000000e+00,6.070420e-01,8.490098e-01
3,0.9,0.47250000000000009,0.4725000000000001,-0.13828915835851224,0.000000e+00,0.000000e+00,6.107892e-01,1.292675e+00
4,0.9,0.2079375,0.20793750000000013,-0.29877393520877182,1.387779e-16,6.674019e-16,5.067114e-01,2.436845e+00
5,0.9,-0.041141250000000087,-0.041141249999999857,-0.3733824483514005,2.289835e-16,5.565789e-15,3.322412e-01,8.075622e+00
6,0.9,-0.24116431250000012,-0.24116431249999988,-0.36710276043916767,2.498002e-16,1.035809e-15,1.259384e-01,5.222101e-01
7,0.9,-0.36782499375000016,-0.36782499374999993,-0.29354394386140853,2.220446e-16,6.036692e-16,7.428105e-02,2.019467e-01
8,0.9,-0.40968590351562517,-0.409685903515625,-0.17414048988185513,1.665335e-16,4.064906e-16,2.355454e-01,5.749415e-01
9,0.9,-0.36951048597656266,-0.36951048597656258,-0.035110882700123906,5.551115e-17,1.502289e-16,3.343996e-01,9.049800e-01
10,0.9,-0.2631456178558596,-0.26314561785585953,0.096686831476457721,5.551115e-17,2.109522e-16,3.598324e-01,1.367427e+00
11,0.9,-0.11621339251910187,-0.11621339251910177,0.19804454017329912,1.110223e-16,9.553314e-16,3.142579e-01,2.704146e+00
12,0.9,0.040748714272420584,0.040748714272420684,0.25299723627885479,9.714451e-17,2.383990e-15,2.122485e-01,5.208717e+00
13,0.9,0.17780052164297583,0.17780052164297589,0.25506948724574174,5.551115e-17,3.122103e-16,7.726897e-02,4.345823e-01
14,0.9,0.2707728135987747,0.27077281359877467,0.20780174774617236,0.000000e+00,0.000000e+00,6.297107e-02,2.325605e-01
15,0.9,0.30519754212842387,0.30519754212842377,0.12351018631564761,1.110223e-16,3.637719e-16,1.816874e-01,5.953107e-01
16,0.9,0.27833870133758787,0.27833870133758772,0.020556748875873946,1.665335e-16,5.983122e-16,2.577820e-01,9.261448e-01
17,0.9,0.19902933856891636,0.19902933856891617,-0.080331031731582667,1.942890e-16,9.761829e-16,2.793604e-01,1.403614e+00
18,0.9,0.085425902343437318,0.085425902343437137,-0.1599940128019284,1.804112e-16,2.111903e-15,2.454199e-01,2.872898e+00
19,0.9,-0.038833976116001652,-0.038833976116001811,-0.204307476586091,1.595946e-16,4.109663e-15,1.654735e-01,4.261050e+00
20,0.9,-0.14930823530984835,-0.14930823530984846,-0.20656530924675776,1.110223e-16,7.435779e-16,5.725707e-02,3.834824e-01
21,0.9,-0.22537116002920812,-0.22537116002920819,-0.16838620854683528,8.326673e-17,3.694649e-16,5.698495e-02,2.528494e-01
22,0.9,-0.25392686143743359,-0.25392686143743362,-0.099030671662755143,5.551115e-17,2.186108e-16,1.548962e-01,6.100032e-01
23,0.9,-0.23155966815536874,-0.23155966815536877,-0.01331502670918292,2.775558e-17,1.198636e-16,2.182446e-01,9.424985e-01
24,0.9,-0.16477733957963026,-0.16477733957963024,0.071436659101872108,0.000000e+00,0.000000e+00,2.362140e-01,1.433534e+00
25,0.9,-0.068369945589313807,-0.068369945589313738,0.138796692296518,6.938894e-17,1.014904e-15,2.071666e-01,3.030083e+00
26,0.9,0.037740499497740491,0.037740499497740593,0.17634044995628359,1.040834e-16,2.757870e-15,1.386000e-01,3.672446e+00
27,0.9,0.1325126078283104,0.1325126078283105,0.17787872085945405,1.110223e-16,8.378244e-16,4.536611e-02,3.423532e-01
28,0.9,0.19787073575222755,0.19787073575222764,0.14442159049011852,8.326673e-17,4.208138e-16,5.344915e-02,2.701215e-01
29,0.9,0.22208330085850286,0.2220833008585029,0.083731841657874673,2.775558e-17,1.249782e-16,1.383515e-01,6.229710e-01
30,0.9,0.20181239795906342,0.20181239795906343,0.0085978222606569715,0.000000e+00,0.000000e+00,1.932146e-01,9.573970e-01
31,0.9,0.14248392329669343,0.1424839232966934,-0.065804348633102333,2.775558e-17,1.947979e-16,2.082883e-01,1.461837e+00
32,0.9,0.056957941068486007,0.056957941068485929,-0.12492622054928963,7.632783e-17,1.340074e-15,1.818842e-01,3.193306e+00
33,0.9,-0.037195333120841167,-0.037195333120841269,-0.15764984078406571,1.040834e-16,2.798292e-15,1.204545e-01,3.238431e+00
34,0.9,-0.1212497247778459,-0.12124972477784601,-0.15834470944566489,1.110223e-16,9.156499e-16,3.709498e-02,3.059387e-01
35,0.9,-0.17899904521701801,-0.17899904521701812,-0.12780319628335873,1.110223e-16,6.202396e-16,5.119585e-02,2.860119e-01
36,0.9,-0.19984162839285677,-0.19984162839285688,-0.072904428108565331,1.110223e-16,5.555514e-16,1.269372e-01,6.351890e-01
37,0.9,-0.18069268534048763,-0.18069268534048771,-0.0051055637981574902,8.326673e-17,4.608196e-16,1.755871e-01,9.717445e-01
38,0.9,-0.12638463184071619,-0.12638463184071621,0.061916796937928592,2.775558e-17,2.196120e-16,1.883014e-01,1.489908e+00
39,0.9,-0.048516229323669245,-0.048516229323669248,0.11499603723406245,0.000000e+00,0.000000e+00,1.635123e-01,3.370259e+00
40,0.9,0.036987418421876195,0.036987418421876214,0.14403657916906565,2.081668e-17,5.628044e-16,1.070492e-01,2.894205e+00
41,0.9,0.11309834087564744,0.11309834087564746,0.14391280809908263,2.775558e-17,2.454110e-16,3.081447e-02,2.724573e-01
42,0.9,0.16504671209795094,0.16504671209795097,0.11535207188261384,2.775558e-17,1.681680e-16,4.969464e-02,3.010944e-01
43,0.9,0.1831614688073501,0.18316146880735015,0.064653385089732285,5.551115e-17,3.030722e-16,1.185081e-01,6.470143e-01
44,0.9,0.16464850880462775,0.16464850880462784,0.0023232036721282262,8.326673e-17,5.057241e-16,1.623253e-01,9.858899e-01
45,0.9,0.11398313172727291,0.11398313172727298,-0.059081340662461096,6.938894e-17,6.087650e-16,1.730645e-01,1.518334e+00
46,0.9,0.041870338962073969,0.041870338962074005,-0.1074631731630725,3.469447e-17,8.286169e-16,1.493335e-01,3.566570e+00
47,0.9,-0.036993121028275802,-0.036993121028275803,-0.13355161538885013,0.000000e+00,0.000000e+00,9.655849e-02,2.610174e+00
48,0.9,-0.10689203706531369,-0.10689203706531374,-0.13266445785588085,4.163336e-17,3.894898e-16,2.577242e-02,2.411070e-01
49,0.9,-0.15420418421315607,-0.15420418421315614,-0.10553325779905286,8.326673e-17,5.399771e-16,4.867093e-02,3.156265e-01
50,0.9,-0.17003765994383671,-0.17003765994383679,-0.058049096699148983,8.326673e-17,4.896958e-16,1.119886e-01,6.586104e-01
