N_POINTS, absolute error
35600,0.00249153
35700,0.00310526
35800,0.00282170
35900,0.00242831
36000,0.00270376
36100,0.00253448
36200,0.00192415
36300,0.00308026
36400,0.00313112
36500,0.00351046
36600,0.00377845
36700,0.00382699
36800,0.00333178
36900,0.00316447
37000,0.00278184
37100,0.00261691
37200,0.00191523
37300,0.00218247
37400,0.00298303
37500,0.00335265
37600,0.00361393
37700,0.00334332
37800,0.00370906
37900,0.00322854
38000,0.00369792
38100,0.00353491
38200,0.00358218
38300,0.00331589
38400,0.00242599
38500,0.00289135
38600,0.00293980
38700,0.00309136
38800,0.00293286
38900,0.00256952
39000,0.00220804
39100,0.00174611
39200,0.00149061
39300,0.00215245
39400,0.00199874
39500,0.00174455
39600,0.00088558
39700,0.00113925
39800,0.00219567
39900,0.00224428
40000,0.00269265
40100,0.00214128
40200,0.00189116
40300,0.00243633
40400,0.00268176
40500,0.00183957
40600,0.00198674
40700,0.00223147
40800,0.00267108
40900,0.00261955
41000,0.00237314
41100,0.00319849
41200,0.00275770
41300,0.00348127
41400,0.00362164
41500,0.00385771
41600,0.00399650
41700,0.00461424
41800,0.00455916
41900,0.00393156
42000,0.00425932
42100,0.00449052
42200,0.00472062
42300,0.00438225
42400,0.00423416
42500,0.00446324
42600,0.00431566
42700,0.00416877
42800,0.00383564
42900,0.00443648
43000,0.00429033
43100,0.00488732
43200,0.00511117
43300,0.00551875
43400,0.00500279
43500,0.00531679
43600,0.00526238
43700,0.00511668
43800,0.00561092
43900,0.00537397
44000,0.00477447
44100,0.00454050
44200,0.00457908
44300,0.00425631
44400,0.00456563
44500,0.00442411
44600,0.00482135
44700,0.00459042
44800,0.00462837
44900,0.00413163
45000,0.00434821
45100,0.00465252
45200,0.00460150
45300,0.00561031
45400,0.00520499
45500,0.00594430
45600,0.00606634
45700,0.00645042
45800,0.00648348
45900,0.00651640
46000,0.00611439
46100,0.00666858
46200,0.00704720
46300,0.00733779
46400,0.00710989
46500,0.00696900
46600,0.00631368
46700,0.00643205
46800,0.00629351
46900,0.00649670
47000,0.00652882
47100,0.00715529
47200,0.00727062
47300,0.00789287
47400,0.00766860
47500,0.00820318
47600,0.00848341
47700,0.00800775
47800,0.00778512
47900,0.00747992
48000,0.00792599
48100,0.00820388
48200,0.00798270
48300,0.00859058
48400,0.00870009
48500,0.00913905
48600,0.00924697
48700,0.00910805
48800,0.00896970
48900,0.00875012
49000,0.00861306
49100,0.00798777
49200,0.00720241
49300,0.00715046
49400,0.00669387
49500,0.00648154
49600,0.00635072
49700,0.00630090
49800,0.00689386
49900,0.00724396
50000,0.00687265
50100,0.00778028
50200,0.00772811
50300,0.00735806
50400,0.00714821
50500,0.00670156
50600,0.00657289
50700,0.00676031
50800,0.00647454
50900,0.00705434
51000,0.00700442
51100,0.00656330
51200,0.00667078
51300,0.00693378
51400,0.00696230
51500,0.00683537
51600,0.00756165
51700,0.00751142
51800,0.00699806
51900,0.00687204
52000,0.00643881
52100,0.00600724
52200,0.00619035
52300,0.00591388
52400,0.00556212
52500,0.00574503
52600,0.00554703
52700,0.00588108
52800,0.00530477
52900,0.00457942
53000,0.00483794
53100,0.00494482
53200,0.00535205
53300,0.00545757
53400,0.00578741
53500,0.00581695
53600,0.00599564
53700,0.00602468
53800,0.00612797
53900,0.00630508
54000,0.00633339
54100,0.00673129
54200,0.00690631
54300,0.00649136
54400,0.00732795
54500,0.00698715
54600,0.00708716
54700,0.00711368
54800,0.00728608
54900,0.00782216
55000,0.00762902
55100,0.00765436
55200,0.00738976
55300,0.00719844
55400,0.00679121
55500,0.00761067
55600,0.00763582
55700,0.00766088
55800,0.00754247
55900,0.00720983
56000,0.00737837
56100,0.00761761
56200,0.00828305
56300,0.00837773
56400,0.00847209
56500,0.00856610
56600,0.00851845
56700,0.00903533
56800,0.00870533
56900,0.00851708
57000,0.00818914
57100,0.00814257
57200,0.00837587
57300,0.00811970
57400,0.00821286
57500,0.00823613
57600,0.00839821
57700,0.00897567
57800,0.00851307
57900,0.00874291
58000,0.00883403
58100,0.00844291
58200,0.00798441
58300,0.00787053
58400,0.00803101
58500,0.00798582
58600,0.00800904
58700,0.00810032
58800,0.00859946
58900,0.00848569
59000,0.00850791
59100,0.00812396
59200,0.00814671
59300,0.00816938
59400,0.00839400
